Title,Detail,Date,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed
"Chalet in Skykomish, Washington, US",Sky Haus - A-Frame Cabin,Jun 11 - 16,306.00,229.00,4.85 (531),4 beds
"Cabin in Hancock, New York, US",The Catskill A-Frame - Mid-Century Modern Cabin,Jun 6 - 11,485.00,170.00,4.77 (146),4 beds
"Cabin in West Farmington, Ohio, US",The Triangle: A-Frame Cabin for your city retreat,Jul 9 - 14,119.00,522.00,4.91 (515),4 beds
"Home in Blue Ridge, Georgia, US",*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub,Jun 11 - 16,192.00,348.00,4.94 (88),5 beds
"Treehouse in Grandview, Texas, US",Luxury Treehouse Couples Getaway w/ Peaceful Views,Jun 4 - 9,232.00,196.00,4.99 (222),1 queen bed
"Tiny home in Puerto Escondido, Mexico",Casa Tiny near Casa Wabi,Jun 21 - 26,261.00,148.00,4.84 (555),1 double bed
"Home in Saco, Maine, US",The Beach House. Oceanfront & Sunrise Views!,Jun 4 - 9,607.00,,4.64 (90),2 queen beds
"Chalet in Grand Étang, Canada",• Cedar Peak • 2 Bedroom Barrier-Free Chalet,Jun 8 - 15,381.00,,5.0 (48),2 beds
"Room in Mexico City, Mexico","Room in apartment, traditional neighborhood",Jul 3 - 8,29.00,,4.84 (58),2 beds
"Tiny home in Sandy Valley, Nevada, US",Peacock Tiny House near Las Vegas,Jun 26 - Jul 1,154.00,,4.92 (744),3 beds
"Guest suite in Huntsville, Canada",Hidden Valley’s Guest Suite - explore nature,Sep 4 - 10,207.00,,4.97 (265),2 beds
"Cabin in Nelson, Canada",Downey Family Cabin. Barrel Sauna Included!,Jun 1 - 6,162.00,,4.99 (226),2 king beds
"Dome in Joshua Tree, California, US",Dome in the Desert in Joshua Tree,Jun 1 - 6,268.00,,4.94 (944),1 king bed
"Barn in Vero Beach, Florida, US",Private Barn Studio at Pura Vida Florida Farm,Sep 11 - 16,111.00,,4.95 (417),2 double beds
"Tiny home in Bolton, Vermont, US",Cozy Tiny House Cabin between Burlington and Stowe,Jun 1 - 6,174.00,,4.97 (372),2 queen beds
"Cabin in Ucluelet, Canada",Peace Cabin - private waterfront forest retreat,Sep 8 - 13,497.00,,4.99 (69),1 king bed
"Barn in Essex, Canada",14th Homestead Barn Loft,Jun 11 - 16,163.00,,4.9 (289),1 king bed
"Apartment in Bacalar, Mexico","Lagoon Front Hut: Daily Cleaning, Bikes & Kayaks!",Jun 18 - 23,141.00,,4.89 (633),1 king bed
"Treehouse in Travelers Rest, South Carolina, US",The Forestry House - A modern luxury treehouse.,Aug 20 - 25,282.00,417.00,New,1 bed
"Farm stay in Del Norte County, California, US",Underground Hobbit Hole @ Sustainable Ecovillage,Jun 9 - 14,89.00,253.00,4.54 (195),1 bed
"Treehouse in San Carlos, Costa Rica",Rainforest Tree House with Hot Springs,Aug 31 - Sep 5,132.00,,4.84 (763),3 beds
"Treehouse in Frazeysburg, Ohio, US",Tullihas in the Trees Off-Grid Treehouse,Jun 4 - 9,143.00,,4.98 (181),2 beds
"Cabin in Rodney, Canada",SECLUDED LAKESIDE CABIN,Jul 23 - 28,463.00,,4.99 (172),3 beds
"Room in La Habana, Cuba",Fauria Colonial House (Room 3),Jun 21 - 26,29.00,,4.92 (75),1 bed
"Dome in Terlingua, Texas, US",Domeland: Off-grid Adobe Dome near Big Bend,Jul 9 - 14,136.00,,4.95 (863),5 beds
"Home in Port Angeles, Washington, US",Lake Sutherland Waterfront Cabin w/ Expansive Dock,Sep 1 - 6,688.00,,4.82 (83),1 king bed
